,EffectiveDate,WorkDate,QuoteQueryId,QuoteDriverId1,QuoteDriverId2,PolicyInceptionDate,ProposerYearsAtHomeAddress,AddressLine4,NCDClaimedYearsEarned,NCDDrivingExperienceYears,VehicleCode,VehicleValue,VehicleAnnualMileage,VehicleDateManufactured,VehicleImported,VehicleEngineCapacity,VehicleFuelType,VehicleSeats,VehicleDoors,VehicleOvernightLocation,VehicleBodyType,CarsInHouseHold,EmploymentStatus,LicenceType,LicenceCountry,ClaimsIndicator,VoluntaryExcess,Driver1RelationshipToProposer,Driver1Age,Driver1VehicleDrivingFrequency,Driver2RelationshipToProposer,Driver2Age,Driver2LicenceType,Driver2LicenceCountry,Driver2LicenceDate,Driver2EmploymentStatus,Driver2VehicleDrivingFrequency,Driver2ClaimsIndicator,Insurer_1GrossPremCompStepAnnual,Insurer_1NetPremCompStepAnnual,Insurer_1FeePremCompStepAnnual,Insurer_1CommissionCompStepAnnual,Insurer_1DiscountCompStep,Insurer_1IncomeIfSold,Insurer_1CustomerPrice,Insurer_2GrossPremCompStepAnnual,Insurer_2NetPremCompStepAnnual,Insurer_2FeePremCompStepAnnual,Insurer_2CommissionCompStepAnnual,Insurer_2DiscountCompStep,Insurer_2IncomeIfSold,Insurer_2CustomerPrice,Insurer_3GrossPremCompStepAnnual,Insurer_3NetPremCompStepAnnual,Insurer_3FeePremCompStepAnnual,Insurer_3CommissionCompStepAnnual,Insurer_3DiscountCompStep,Insurer_3IncomeIfSold,Insurer_3CustomerPrice,Insurer_4GrossPremCompStepAnnual,Insurer_4NetPremCompStepAnnual,Insurer_4FeePremCompStepAnnual,Insurer_4CommissionCompStepAnnual,Insurer_4DiscountCompStep,Insurer_4IncomeIfSold,Insurer_4CustomerPrice,SaleFlag,IsDirectDebit,SaleCoverType,HomeOwner,PricingModel,MarketPricePrediction
405,11/30/23,11/12/23,56372441,72296057,72296058,11/17/23 0:00,0,Tipperary,5,0,4134955,"€25,500.00",10000,1/1/17 0:00,0,1968,D,5,4,Kept On Private Property,9,,Employed,Full Irish,IE,0,0,Proposer,33,Infrequent (Casual),Partner,29,Full Irish,IE,11/12/13 0:00,Employed,Frequent,0,791.45,678.38,0,75.38,35.02,110.4,826.47,1007.82,857.12,0,84.77,44.59,129.36,1052.41,856.55,735.87,0,81.76,37.9,119.66,894.45,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,€491.96
406,11/30/23,11/11/23,56337445,72248089,,12/1/23 0:00,0,Louth,9,0,95058436,"€20,000.00",15000,1/1/18 0:00,0,1798,,5,,99999,5,,Employed,Full Irish,IE,0,0,Proposer,38,Main,,,,,,,,,641.45,549.81,35,61.09,-44.9,51.19,631.55,924.95,786.64,35,77.8,-64.75,48.05,895.2,796.11,683.95,35,75.99,-55.73,55.26,775.38,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€488.54
407,11/30/23,11/12/23,56367526,72289596,72289597,12/4/23 0:00,0,Carlow,9,0,39199772,"€24,000.00",14000,1/1/18 0:00,0,1499,,5,,99999,4,,Employed,Full Irish,IE,0,0,Proposer,43,Main,,40,Full Irish,IE,11/12/10 0:00,Employed,Frequent,0,515.71,442.03,35,49.12,-25.78,58.34,524.93,1148.88,977.09,50,96.63,-57.44,89.19,1141.44,615.07,528.41,35,58.71,-30.75,62.96,619.32,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€427.59
408,11/30/23,11/12/23,56383830,72311879,,11/13/23 0:00,0,Cork,0,0,22517702,"€4,500.00",4000,1/1/10 0:00,0,1582,D,5,5,Kept On Public Road,5,,Employed,Provisional Irish,IE,0,0,Proposer,36,3,,,,,,,,,3811.92,3267.36,0,363.04,148.93,511.97,3960.85,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€1,392.61"
409,11/30/23,11/11/23,56349601,72265777,72265778,11/12/23 0:00,0,Longford,4,0,95050092,"€4,000.00",5000,1/1/08 0:00,0,1798,P,5,4,Parked On Drive,9,,Employed,Full Irish,IE,0,0,Proposer,30,Main,Employer of Proposer,30,Full Irish,IE,11/11/15 0:00,Employed,Frequent,0,1402.29,1201.96,0,133.55,123.92,257.47,1526.21,1598.83,1359.75,0,134.48,141.27,275.75,1740.1,859.19,738.13,0,82.02,75.92,157.94,935.11,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,€629.33
410,11/30/23,11/11/23,56338296,72249289,72249290,11/11/23 0:00,0,Dublin,2,0,28552422,"€25,000.00",5000,1/1/17 0:00,0,1996,D,5,5,Kept On Private Property,4,,Employed,Full Irish,IE,0,0,Proposer,39,Main,,36,Full Irish,IE,11/11/22 0:00,Self Employed,Frequent,0,1198.92,1027.65,50,114.18,0,164.18,1248.92,1059.4,900.98,50,89.11,0,139.11,1109.4,,,,,,,,,,,,,,,Insurer_18,0,Comprehensive,Y,Other,€659.36
411,11/30/23,11/11/23,56350768,72267384,,11/18/23 0:00,0,Galway,1,0,50070801,"€10,000.00",5000,1/1/15 0:00,0,1798,P,5,5,Kept On Private Property,5,,Employed,Full Irish,IE,0,0,Proposer,33,Main,,,,,,,,,1257.48,1077.84,0,119.76,-1.5,118.26,1255.98,1661.41,1412.98,0,139.74,-1.98,137.76,1659.43,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,€691.72
412,11/30/23,11/12/23,56388131,72317660,,11/16/23 0:00,0,Tipperary,0,0,95055606,"€8,900.00",7000,1/1/14 0:00,0,1197,P,5,5,Kept On Private Property,4,,Unemployed,Provisional Irish,IE,0,0,Proposer,17,Main,,,,,,,,,,,,,,,,4262.52,3625.14,0,358.53,-90.71,267.82,4171.81,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Low,"€2,239.66"
413,11/30/23,11/12/23,56384080,72312228,72312229,11/13/23 0:00,0,Galway,0,6,95040788,"€2,800.00",5000,1/1/09 0:00,0,1198,P,5,5,Parked On Drive,5,,Employed,Full Irish,IE,0,0,Proposer,36,Infrequent (Casual),Partner,33,Full Irish,IE,11/12/11 0:00,Employed,Frequent,0,,,,,,,,697.66,593.34,35,58.68,48.84,142.52,781.5,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€815.95
414,11/30/23,11/11/23,56352431,72269652,72269653,11/12/23 0:00,0,Donegal,0,6,50056601,"€3,000.00",8000,1/1/09 0:00,0,1364,D,5,3,Garaged,5,,Household Duties,Full Irish,IE,0,0,Proposer,41,Frequent,,48,Full Irish,IE,11/2/03 0:00,Self Employed,Frequent,0,615.01,527.15,35,58.57,0,93.57,650.01,799.13,679.63,35,67.22,0,102.22,834.13,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€953.86
415,11/30/23,11/11/23,56343007,72256176,72256177,11/18/23 0:00,0,Clare,2,0,31571236,"€9,000.00",7000,1/1/16 0:00,0,1499,D,5,5,Parked On Drive,5,,Unemployed,Full Irish,IE,0,0,Proposer,20,,Relative,47,Full Irish,IE,11/11/03 0:00,Household Duties,Frequent,0,2314.76,1984.08,0,220.45,148.14,368.59,2462.9,1689.42,1436.8,0,142.1,108.12,250.22,1797.54,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€1,338.43"
416,11/30/23,11/12/23,56375000,72299725,,11/13/23 0:00,0,Dublin,5,0,31527901,"€1,500.00",3000,1/1/08 0:00,0,1999,D,5,4,Kept On Private Property,9,,Employed,Full Irish,IE,0,0,Proposer,24,Main,,,,,,,,,2312.35,1982.02,0,220.22,55.57,275.79,2367.92,,,,,,,,1409.25,1210.7,0,134.52,33.87,168.39,1443.12,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Low,€808.04
419,11/30/23,11/12/23,56380860,72307861,,12/1/23 0:00,0,Cork,6,0,95051305,"€8,000.00",6000,1/1/12 0:00,0,1598,D,5,5,Kept On Public Road,5,,Employed,Full Irish,IE,0,0,Proposer,39,Main,,,,,,,,,526.29,451.11,35,50.12,0,85.12,561.29,677.19,575.93,35,56.96,0,91.96,712.19,627.52,539.11,35,59.9,0,94.9,662.52,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€391.19
420,11/30/23,11/11/23,56343727,72257423,72257424,11/13/23 0:00,0,Mayo,0,4,95175067,"€1,000.00",6000,1/1/06 0:00,0,1242,P,5,5,Parked On Drive,5,,Employed,Full Irish,IE,0,0,Proposer,26,Infrequent (Casual),Relative,58,Full EU,FR,11/11/03 0:00,Employed,Frequent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Challenger,€916.12
421,11/30/23,11/12/23,56365358,72286753,,11/30/23 0:00,0,Dublin,1,0,16548801,"€3,500.00",20000,1/1/11 0:00,0,1108,P,5,5,Kept On Public Road,5,,Employed,Full Irish,IE,0,0,Proposer,45,Main,,,,,,,,,,,,,,,,1577.01,1341.19,0,132.65,-141.93,-9.28,1435.08,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Challenger,€552.67
422,11/30/23,11/12/23,56381965,72309308,,11/13/23 0:00,0,Dublin,0,0,31510801,"€5,700.00",10000,1/1/12 0:00,0,1323,P,5,5,Kept On Private Property,4,,Employed,Full EU,RO,0,0,Proposer,23,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insurer_1,1,Comprehensive,N,Champion,"€1,665.26"
423,11/30/23,11/11/23,56360604,72280280,72280281,11/13/23 0:00,0,Kerry,1,0,22523201,"€9,000.00",10000,1/1/13 0:00,0,1582,D,5,5,Kept On Private Property,5,,Employed,Full Irish,IE,0,0,Proposer,25,Main,Relative,59,Full Irish,IE,11/11/03 0:00,Employed,Frequent,0,1044.37,895.18,50,99.46,0,149.46,1094.37,1789.82,1522.18,80,150.55,0,230.55,1869.82,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Other,€729.36
424,11/30/23,11/12/23,56379243,72305638,,12/5/23 0:00,0,Limerick,5,0,95058811,"€22,000.00",5000,1/1/18 0:00,0,1499,,5,,Kept On Private Property,5,,Retired,Full Irish,IE,0,0,Proposer,67,Main,,,,,,,,,1625.21,1393.04,80,154.78,-146.29,88.49,1558.92,1040.09,884.57,50,87.48,-93.62,43.86,996.47,1051.42,903.29,50,100.36,-94.64,55.72,1006.78,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€422.20
425,11/30/23,11/11/23,56360466,72280120,,11/12/23 0:00,0,Kildare,0,0,41549404,"€2,000.00",3000,1/1/07 0:00,0,1149,P,5,5,Kept On Private Property,5,,Employed,Learner Permit,IE,0,0,Proposer,32,Main,,,,,,,,,1134.06,972.05,0,108.01,199.59,307.6,1333.65,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",Y,High,€976.91
426,11/30/23,11/11/23,56360352,72279958,,11/12/23 0:00,0,Donegal,3,0,95054162,"€20,000.00",8000,1/1/17 0:00,0,1968,D,5,5,Kept On Private Property,5,,Employed,Full Irish,IE,0,0,Proposer,22,Infrequent (Casual),,,,,,,,,2183.4,1871.49,0,207.94,161,368.94,2344.4,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€1,350.45"
427,11/30/23,11/12/23,56384562,72312871,72312872,11/20/23 0:00,0,Offaly,9,0,95053706,"€8,000.00",10000,1/1/13 0:00,0,1560,D,5,5,Kept On Private Property,5,,Household Duties,Full Irish,IE,0,0,Proposer,35,Main,,39,Full Irish,IE,10/21/03 0:00,Employed,Frequent,0,444,380.57,10,42.29,17.36,69.65,471.36,914.33,777.6,35,76.91,35.74,147.65,985.07,502.57,431.76,35,47.97,19.64,102.61,557.21,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€357.67
428,11/30/23,11/11/23,56346950,72262074,72262075,11/30/23 0:00,0,Cork,9,0,95057692,"€20,000.00",11000,1/1/17 0:00,0,1968,D,5,5,Parked On Drive,5,,Employed,Full Irish,IE,0,0,Proposer,39,Infrequent (Casual),,38,Full Irish,IE,11/11/08 0:00,Employed,Frequent,0,464.75,398.36,10,44.26,-23.24,31.02,451.51,811.32,690,35,68.24,-40.56,62.68,805.76,510.95,438.96,35,48.77,-25.55,58.22,520.4,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€412.28
429,11/30/23,11/11/23,56352214,72269365,72269366,11/11/23 0:00,0,Galway,9,0,95051205,"€8,000.00",10000,1/1/11 0:00,0,1197,P,5,5,Parked On Drive,5,,Employed,Full Irish,IE,0,0,Proposer,49,Main,Tenant,19,Provisional Irish,IE,11/9/23 0:00,Employed,Frequent,0,1135.14,972.98,50,108.11,0,158.11,1185.14,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€508.67
430,11/30/23,11/11/23,56355123,72273242,,11/13/23 0:00,0,Dublin,0,2,95052040,"€4,000.00",11000,1/1/10 0:00,0,1242,P,5,5,Kept On Public Road,5,,Employed,Full Irish,IE,0,0,Proposer,22,Main,,,,,,,,,2790.36,2391.74,0,265.75,-89.54,176.21,2700.82,1948.06,1656.76,0,163.86,-62.49,101.37,1885.57,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€1,572.52"
431,11/30/23,11/11/23,56343744,72257444,,11/12/23 0:00,0,Dublin,3,0,95040146,"€3,000.00",10000,1/1/07 0:00,0,1896,D,5,4,Parked On Drive,9,,Employed,Full Irish,IE,0,0,Proposer,32,Main,,,,,,,,,2462.95,2111.1,0,234.57,104.01,338.58,2566.96,2800.18,2381.46,0,235.53,118.25,353.78,2918.43,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,€776.70
432,11/30/23,11/11/23,56347214,72262431,72262432,11/14/23 0:00,0,Clare,1,0,95040106,"€1,200.00",3000,1/1/07 0:00,0,1328,P,5,5,Kept On Private Property,5,,Employed,Full Irish,IE,0,0,Proposer,22,Main,Relative,45,Full Irish,IE,11/11/03 0:00,Employed,Frequent,0,2046.35,1754.01,0,194.89,156.77,351.66,2203.12,1248.71,1062,0,105.03,95.66,200.69,1344.37,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€1,157.89"
433,11/30/23,11/12/23,56377325,72303007,,12/1/23 0:00,0,Dublin,0,0,95050219,"€1,950.00",8000,1/1/09 0:00,0,1399,P,5,3,Parked On Drive,5,,Employed,Provisional Irish,IE,0,0,Proposer,28,Main,,,,,,,,,4424.97,3792.83,0,421.43,262.4,683.83,4687.37,2737.13,2327.84,0,230.23,162.31,392.54,2899.44,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€1,351.53"
434,11/30/23,11/11/23,56336568,72246847,72246848,11/23/23 0:00,0,Galway,9,0,95058117,"€23,000.00",20000,1/1/18 0:00,0,1995,D,5,5,Kept On Private Property,5,,Employed,Full Irish,IE,0,0,Proposer,43,Infrequent (Casual),,47,Full Irish,IE,11/11/03 0:00,Household Duties,Frequent,1,571.47,489.83,35,54.43,0,89.43,606.47,730.42,621.2,35,61.44,0,96.44,765.42,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€476.41
435,11/30/23,11/11/23,56348281,72263916,72263917,12/10/23 0:00,0,Dublin,8,0,28811428,"€25,000.00",8000,1/1/16 0:00,0,2494,P,5,5,Parked On Drive,5,,Employed,Full Irish,IE,0,0,Proposer,39,Main,,32,Full Irish,IE,11/10/18 0:00,Household Duties,Frequent,0,617.59,529.36,35,58.82,-30.88,62.94,621.71,868.74,738.84,35,73.07,-43.43,64.64,860.31,909.89,781.69,35,86.86,-45.49,76.37,899.4,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€461.73
436,11/30/23,11/11/23,56356687,72275447,,12/11/23 0:00,0,Dublin,2,0,53628080,"€9,000.00",5000,1/1/13 0:00,0,1198,P,5,5,Parked On Drive,5,,Employed,Full Irish,IE,0,0,Proposer,23,Main,,,,,,,,,,,,,,,,955.97,813.03,35,80.41,-47.8,67.61,943.17,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Other,€906.13
437,11/30/23,11/11/23,56354956,72273040,72273041,11/28/23 0:00,0,Dublin,9,0,7131623,"€30,000.00",7000,1/1/17 0:00,0,2998,,5,,Parked On Drive,5,,Employed,Full Irish,IE,0,0,Proposer,53,Main,Tenant,25,Full Irish,IE,11/11/19 0:00,Employed,Frequent,0,944.11,809.23,0,89.92,113.29,203.21,1057.4,,,,,,,,3323.36,2855.12,0,317.24,359.99,677.23,3683.35,,,,,,,,No Sale,0,"Third party, fire, theft",N,Challenger,€567.87
438,11/30/23,11/11/23,56351738,72268716,72268717,11/30/23 0:00,0,Louth,0,0,95054863,"€8,000.00",3000,1/1/15 0:00,0,999,P,5,5,Kept On Private Property,5,,Unemployed,Provisional Irish,IE,0,0,Proposer,17,,Relative,48,Full Irish,IE,11/11/03 0:00,Employed,Frequent,0,4561.6,3909.94,0,434.44,113.9,548.34,4675.5,4680.68,3980.78,0,393.7,116.88,510.58,4797.56,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€1,944.09"
439,11/30/23,11/11/23,56356777,72275570,,11/12/23 0:00,0,Dublin,0,3,95054447,"€7,400.00",5000,1/1/14 0:00,0,1198,P,5,5,Kept On Private Property,5,,Employed,Full Irish,IE,0,0,Proposer,33,Main,,,,,,,,,706.9,605.92,0,67.32,-16.17,51.15,690.73,1460.84,1242.4,0,122.87,-33.42,89.45,1427.42,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,€967.90
440,11/30/23,11/12/23,56371623,72294864,,11/12/23 0:00,0,Dublin,0,0,35536001,"€3,000.00",6000,1/1/11 0:00,0,1461,D,5,5,Kept On Private Property,5,,Employed,Full Irish,IE,0,0,Proposer,25,Main,,,,,,,,,4818.56,4130.19,0,458.91,13.3,472.21,4831.86,3102.44,2638.53,0,260.95,8.56,269.51,3111,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€1,461.94"
443,11/30/23,11/11/23,56354240,72272125,72272126,12/10/23 0:00,0,Galway,0,3,50077494,"€17,750.00",25000,1/1/18 0:00,0,1497,P,5,5,Kept On Private Property,5,,Employed,Provisional Irish,IE,0,0,Proposer,43,Infrequent (Casual),,49,Full Irish,IE,11/11/14 0:00,Employed,Frequent,0,1583.07,1356.92,80,150.77,0,230.77,1663.07,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€937.74
445,11/30/23,11/12/23,56375521,72300459,,12/1/23 0:00,0,Dublin,8,0,41684794,"€8,000.00",6000,1/1/17 0:00,0,1149,P,5,5,Kept On Private Property,5,,Employed,Full Irish,IE,0,0,Proposer,35,Main,,,,,,,,,693.58,594.49,35,66.06,-97.42,3.64,631.16,760.64,646.9,35,63.98,-103.45,-4.47000000000001,692.19,578.82,497.27,35,55.25,-86.82,3.43000000000001,527,,,,,,,,Insurer_19,0,Comprehensive,Y,Other,€363.29
446,11/30/23,11/11/23,56339130,72250429,72250430,11/16/23 0:00,0,Waterford,5,0,53583301,"€1,000.00",10000,1/1/08 0:00,0,1390,P,5,4,Parked On Drive,9,,Employed,Full EU,HR,0,0,Proposer,45,Main,Sister,58,Full EU,HR,11/11/03 0:00,Employed,Frequent,0,,,,,,,,,,,,,,,836.27,718.44,35,79.83,-41.82,73.01,829.45,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€552.27
447,11/30/23,11/12/23,56371221,72294357,,11/12/23 0:00,0,Dublin,0,0,95053559,"€5,500.00",10000,1/1/14 0:00,0,2191,D,5,4,Garaged,9,,Employed,Full Irish,IE,0,0,Proposer,28,Main,,,,,,,,,3581.05,3069.47,0,341.05,218.66,559.71,3799.71,2640.61,2245.75,0,222.11,161.24,383.35,2801.85,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€1,378.30"
448,11/30/23,11/11/23,56341672,72254147,72254148,11/11/23 0:00,0,Louth,0,3,31510801,"€7,000.00",5000,1/1/13 0:00,0,1323,P,5,5,Parked On Drive,4,,Employed,Full Irish,IE,0,0,Proposer,42,Frequent,Partner,42,Full Irish,IE,11/11/03 0:00,Employed,Frequent,0,926.96,794.54,0,88.28,111.24,199.52,1038.2,1851.68,1574.79,0,155.75,222.2,377.95,2073.88,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Challenger,€880.62
449,11/30/23,11/11/23,56349813,72266091,72266092,11/13/23 0:00,0,Louth,0,0,95054023,"€7,250.00",1000,1/1/14 0:00,0,1197,P,5,5,Kept On Public Road,5,,Employed,Learner Permit,IE,0,0,Proposer,17,,,83,Full Irish,IE,11/11/03 0:00,Retired,Frequent,0,7326.81,6280.12,0,697.79,41.91,739.7,7368.72,6137.45,5219.71,0,516.23,35.11,551.34,6172.56,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€2,141.95"
450,11/30/23,11/12/23,56366834,72288754,72288755,11/15/23 0:00,0,Dublin,9,0,4039701,"€3,000.00",8000,1/1/07 0:00,0,1968,D,5,4,Kept On Private Property,9,,Employed,Full Irish,IE,0,0,Proposer,68,Infrequent (Casual),,67,Full Irish,IE,11/12/03 0:00,Employed,Frequent,0,464.33,398,10,44.22,-23.21,31.01,451.12,710.79,604.5,35,59.79,-35.53,59.26,710.26,731.66,628.58,35,69.84,-36.58,68.26,730.08,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€371.86
451,11/30/23,11/11/23,56341234,72253564,72253565,11/11/23 0:00,0,Westmeath,0,0,95500123,"€5,000.00",6000,1/1/11 0:00,0,998,P,5,5,Kept On Private Property,5,,Unemployed,Provisional Irish,IE,0,0,Proposer,19,Main,Relative,44,Full Irish,IE,11/11/03 0:00,Employed,Frequent,0,4454.86,3818.45,0,424.27,285.11,709.38,4739.97,2005.45,1705.57,0,168.68,128.35,297.03,2133.8,,,,,,,,,,,,,,,Insurer_2,1,Comprehensive,N,Champion,"€1,960.32"
452,11/30/23,11/12/23,56369630,72292441,,11/13/23 0:00,0,Meath,0,2,95059270,"€16,000.00",3000,1/1/20 0:00,0,1968,,5,,Parked On Drive,5,,Self Employed,Full Irish,IE,0,0,Proposer,29,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Champion,"€1,406.73"
453,11/30/23,11/11/23,56338069,72248979,72248980,11/11/23 0:00,0,Dublin,9,0,95056429,"€3,500.00",6000,1/1/17 0:00,0,1968,D,5,5,Kept On Private Property,5,,Employed,Full Irish,IE,0,0,Proposer,50,Frequent,Tenant,18,Full Irish,IE,11/7/23 0:00,Employed,Frequent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Low,€538.91
454,11/30/23,11/11/23,56348593,72264325,,11/17/23 0:00,0,Dublin,1,0,95010912,"€4,500.00",10000,1/1/07 0:00,0,1390,P,5,5,Parked On Drive,5,,Employed,Learner Permit,IE,0,0,Proposer,40,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Other,€545.81
455,11/30/23,11/12/23,56382175,72309607,,12/1/23 0:00,0,Louth,0,0,50056102,"€3,995.00",17000,1/1/10 0:00,0,998,P,5,5,Garaged,5,,Unemployed,Provisional Irish,IE,0,0,Proposer,29,Main,,,,,,,,,6036.56,5174.19,0,574.91,360.02,934.93,6396.58,3765.2,3202.18,0,316.7,359.99,676.69,4125.19,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,High,"€1,329.76"
456,11/30/23,11/11/23,56344697,72258800,,11/12/23 0:00,0,Galway,9,0,28811457,"€18,000.00",8000,1/1/15 0:00,0,2494,P,5,4,Parked On Drive,9,,Employed,Full Irish,IE,0,0,Proposer,39,Main,,,,,,,,,578.63,495.97,35,55.11,-57.86,32.25,555.77,1094.56,930.88,50,92.07,-109.44,32.63,1035.12,1097.61,942.97,50,104.77,-109.75,45.02,1037.86,,,,,,,,Insurer_1,0,Comprehensive,Y,Other,€421.31
457,11/30/23,11/12/23,56374697,72299290,72299291,12/2/23 0:00,0,Mayo,3,0,21057877,"€15,000.00",12000,1/1/18 0:00,0,1318,P,5,5,Parked On Drive,5,,Employed,Full Irish,IE,0,0,Proposer,25,Main,Relative,59,Full Irish,IE,11/12/03 0:00,Employed,Frequent,0,811.08,695.21,35,77.25,0,112.25,846.08,1203.92,1023.9,50,101.26,0,151.26,1253.92,1168.66,1004,50,111.56,0,161.56,1218.66,,,,,,,,No Sale,0,"Third party, fire, theft",N,Other,€690.91
458,11/30/23,11/12/23,56379158,72305534,72305535,11/16/23 0:00,0,Meath,0,1,95051048,"€3,500.00",6000,1/1/13 0:00,0,1686,D,5,5,Kept On Private Property,5,,Employed,Full Irish,IE,0,0,Proposer,19,Main,Relative,49,Full Irish,IE,11/12/03 0:00,Employed,Frequent,0,4873.51,4177.3,0,464.14,167.5,631.64,5041.01,2334.74,1985.63,0,196.38,80.25,276.63,2414.99,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€1,955.08"
459,11/30/23,11/11/23,56346637,72261681,72261682,11/20/23 0:00,0,Wicklow,9,0,35690592,"€2,000.00",15000,1/1/08 0:00,0,1995,D,5,5,Kept On Private Property,4,,Self Employed,Full Irish,IE,0,0,Proposer,52,Infrequent (Casual),,49,Full Irish,IE,11/11/03 0:00,Employed,Frequent,0,,,,,,,,549.32,467.18,35,46.2,38.44,119.64,622.76,422.78,363.21,10,40.36,29.59,79.95,462.37,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€355.16
460,11/30/23,11/12/23,56382884,72310588,72310589,11/24/23 0:00,0,Meath,6,0,95056612,"€13,000.00",18000,1/1/15 0:00,0,1197,P,5,5,Kept On Private Property,4,,Employed,Full Irish,IE,0,0,Proposer,33,Infrequent (Casual),,34,Full Irish,IE,11/12/07 0:00,Employed,Frequent,0,418.44,358.66,10,39.85,-20.93,28.92,407.51,726.05,617.48,35,61.07,-36.31,59.76,724.74,490.58,421.46,10,46.83,-24.53,32.3,476.05,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€335.91
461,11/30/23,11/11/23,56342016,72254683,72254684,11/17/23 0:00,0,Dublin,3,0,54683327,"€42,000.00",10000,1/1/21 0:00,0,1477,,5,,Parked On Drive,4,,Household Duties,Full Irish,IE,0,0,Proposer,35,Main,,45,Full Irish,IE,11/11/03 0:00,Employed,Frequent,0,897.58,769.36,0,85.48,107.71,193.19,1005.29,981.07,834.37,0,82.52,117.73,200.25,1098.8,978.55,840.68,0,93.41,117.43,210.84,1095.98,,,,,,,,No Sale,0,"Third party, fire, theft",N,Challenger,€700.43
462,11/30/23,11/12/23,56368490,72290944,72290945,11/15/23 0:00,0,Roscommon,0,1,53628402,"€10,000.00",10000,1/1/15 0:00,0,1968,D,5,4,Garaged,9,,Employed,Full EU,HR,0,0,Proposer,42,Infrequent (Casual),,36,Full Irish,IE,11/11/09 0:00,Employed,Frequent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Champion,"€1,309.91"
463,11/30/23,11/12/23,56384011,72312135,72312136,11/16/23 0:00,0,Laois,9,0,95056475,"€24,600.00",18000,1/1/18 0:00,0,1197,P,5,5,Parked On Drive,5,,Employed,Full Irish,IE,0,0,Proposer,49,Main,Friend,55,Full Irish,IE,11/12/06 0:00,Employed,Frequent,0,368.24,315.63,10,35.07,0,45.07,378.24,650.78,553.47,35,54.74,0,89.74,685.78,648.6,557.22,35,61.91,0,96.91,683.6,,,,,,,,No Sale,0,"Third party, fire, theft",N,Other,€333.40
